Best romantic vacation ever!!!!	Translation	Positive	Negative	EmotionRationale
Read below	Read below	1	-1	 Read[0] below[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
A good hotel	A good hotel	2	-1	 A[0] good[1] hotel[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
March Madness	March Madness	1	-2	 March[0] Madness[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Great place!! Except for front desk!!!	Great place!<br> Except for front desk!	3	-1	 Great[2] place[0][+0.6 EmphasisInPunctuation] [[Sentence=-1,3=word max, 1-5]] Except[0] for[0] front[0] desk[0][+0.6 EmphasisInPunctuation] [[Sentence=-1,2=word max, 1-5]][[[3,-1 max of sentences]]]
Not Lush but clean, comfy awesome oceanfront view	Not Lush but clean, comfy awesome oceanfront view	3	-1	 Not[0] Lush[0] but[0] clean[0] comfy[0] awesome[2] oceanfront[0] view[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Great place!	Great place!	3	-1	 Great[2] place[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Just okay	Just okay	1	-1	 Just[0] okay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Great value	Great value	3	-1	 Great[2] value[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Excellent staff	Excellent staff	4	-1	 Excellent[3] staff[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
Would not recommend	Would not recommend	1	-1	 Would[0] not[0] recommend[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
In need of a visit from Undercover Boss	In need of a visit from Undercover Boss	1	-1	 In[0] need[0] of[0] a[0] visit[0] from[0] Undercover[0] Boss[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Very nice stay at Ramada Flagstaff	Very nice stay at Ramada Flagstaff	3	-1	 Very[0] nice[1][1 LastWordBoosterStrength] stay[0] at[0] Ramada[0] Flagstaff[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Good Beach Trip July 3-6th	Good Beach Trip July 3-6th	2	-1	 Good[1] Beach[0] Trip[0] July[0] 3[0] -6th[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Great service Great management!	Great service Great management!	3	-1	 Great[2] service[0] Great[2] management[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
THE WORST EXPERIENCE	THE WORST EXPERIENCE	1	-3	 THE[0] WORST[-2] EXPERIENCE[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
Charming and Rustic	Charming and Rustic	2	-1	 Charming[1] and[0] Rustic[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Very Lodgy!	Very Lodgy!	1	-1	 Very[0] Lodgy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Nicest staff and very accomodating food service	Nicest staff and very accomodating food service	2	-1	 Nicest[1] staff[0] and[0] very[0] accomodating[0] food[0] service[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Beautiful place in Cook's Forest	Beautiful place in Cook's Forest	3	-1	 Beautiful[2] place[0] in[0] Cook's[0] Forest[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
weekend away for our 50th anniverary	weekend away for our 50th anniverary	1	-1	 weekend[0] away[0] for[0] our[0] 50th[0] anniverary[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
old place	old place	1	-1	 old[0] place[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Just Fine Stay.	Just Fine Stay.	2	-1	 Just[0] Fine[2][-1 LastWordBoosterStrength] Stay[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Nice Hotel Very Clean and Quiet Room	Nice Hotel Very Clean and Quiet Room	2	-1	 Nice[1] Hotel[0] Very[0] Clean[0] and[0] Quiet[0] Room[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Very comfortable staay	Very comfortable stay	3	-1	 Very[0] comfortable[1][1 LastWordBoosterStrength] staay/stay[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Doors slamming, pool empty	Doors slamming, pool empty	1	-2	 Doors[0] slamming[-1] pool[0] empty[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Excellent service at Best Western Prarie Inn Albany, OR	Excellent service at Best Western Prarie In Albany, OR	4	-1	 Excellent[3] service[0] at[0] Best[1] Western[0] Prarie[0] Inn/In[0] Albany[0] OR[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
Great Service at Check In	Great Service at Check In	3	-1	 Great[2] Service[0] at[0] Check[0] In[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Lovely hotel	Lovely hotel	2	-1	 Lovely[1] hotel[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Nice stay	Nice stay	2	-1	 Nice[1] stay[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
excellent staff and service	excellent staff and service	4	-1	 excellent[3] staff[0] and[0] service[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
SHOULD BE SHUT DOWN	SHOULD BE SHUT DOWN	1	-1	 SHOULD[0] BE[0] SHUT[0] DOWN[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Tired motel	Tired motel	1	-2	 Tired[-1] motel[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
nice motel at a great price	nice motel at a great price	3	-1	 nice[1] motel[0] at[0] a[0] great[2] price[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
WONDERFUL STAY	WONDERFUL STAY	3	-1	 WONDERFUL[2] STAY[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Best hotel Ever..for first time in ATL	Best hotel Ever.<br>for first time in ATL	2	-1	 Best[1] hotel[0] Ever[0] [[Sentence=-1,2=word max, 1-5]] for[0] first[0] time[0] in[0] ATL[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
Excellent location, quiet	Excellent location, quiet	4	-1	 Excellent[3] location[0] quiet[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
Its the small things that matter	Its the small things that matter	1	-1	 Its[0] the[0] small[0] things[0] that[0] matter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Serious safety Issues	Serious safety Issues	2	-2	 Serious[-1] safety[1] Issues[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
ATL getaway	ATL getaway	1	-1	 ATL[0] getaway[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Disappointing Staff	Disappointing Staff	1	-2	 Disappointing[-1] Staff[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Quiet, clean Hotel with friendly staff	Quiet, clean Hotel with friendly staff	2	-1	 Quiet[0] clean[0] Hotel[0] with[0] friendly[1] staff[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Friendly staff. Breakfast was lacking.	Friendly staff.<br> Breakfast was lacking.	2	-1	 Friendly[1] staff[0] [[Sentence=-1,2=word max, 1-5]] Breakfast[0] was[0] lacking[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
Needs updated	Needs updated	1	-1	 Needs[0] updated[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Service is good	Service is good	2	-1	 Service[0] is[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Poor price vs. quality ratio	Poor price vs.<br> quality ratio	1	-2	 Poor[-1] price[0] vs[0] [[Sentence=-2,1=word max, 1-5]] quality[0] ratio[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
Great stay!	Great stay!	3	-1	 Great[2] stay[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Decent Price for Spring Vacation	Decent Price for Spring Vacation	1	-1	 Decent[0] Price[0] for[0] Spring[0] Vacation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Always like coming home	Always like coming home	2	-1	 Always[0] like[1] coming[0] home[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Great Stay Near Walt Disney World	Great Stay Near Walt Disney World	3	-1	 Great[2] Stay[0] Near[0] Walt[0] Disney[0] World[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Mediocre at best	Mediocre at best	2	-2	 Mediocre[-1] at[0] best[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
Worst!!!!!!!	Worst!	1	-4	 Worst[-2][-0.6 EmphasisInPunctuation] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
Update needed	Update needed	1	-1	 Update[0] needed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Awesome!	Awesome!	3	-1	 Awesome[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Family vacation	Family vacation	1	-1	 Family[0] vacation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Not a 3* Resort	Not a 3* Resort	1	-1	 Not[0] a[0] 3[0] Resort[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Disney Fun	Disney Fun	2	-1	 Disney[0] Fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Upset	Upset	1	-3	 Upset[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
ttPleasant employees	ttPleasant employees	1	-1	 ttPleasant[0] employees[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Awful dirty motel wouldnt bother	Awful dirty motel wouldnt bother	2	-4	 Awful[-3] dirty[-1] motel[0] wouldnt[0] bother[-1][NegatedDueToPreviousWord] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
I'll be back	I'll be back	1	-1	 I'll[0] be[0] back[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Never ever stay here	Never ever stay here	1	-1	 Never[0] ever[0] stay[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Great Price and Stay	Great Price and Stay	3	-1	 Great[2] Price[0] and[0] Stay[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
labor day weekend at a former holiday inn hotel	labor day weekend at a former holiday in hotel	1	-1	 labor[0] day[0] weekend[0] at[0] a[0] former[0] holiday[0] inn/in[0] hotel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Two week stay	Two week stay	1	-1	 Two[0] week[0] stay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Great place to stay.	Great place to stay.	3	-1	 Great[2] place[0] to[0] stay[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Summer Vacation	Summer Vacation	1	-1	 Summer[0] Vacation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
short Disney visit	short Disney visit	1	-1	 short[0] Disney[0] visit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
A getaway of rest	A getaway of rest	1	-1	 A[0] getaway[0] of[0] rest[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
From Bad To Worst!	From Bad To Worst!	1	-3	 From[0] Bad[-1] To[0] Worst[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
It was Great.	It was Great.	3	-1	 It[0] was[0] Great[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's a dump	it's a dump	1	-2	 it's[0] a[0] dump[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
The toilet made a loud noise when it flushes and when the...	The toilet made a loud noise when it flushes and when the.	1	-1	 The[0] toilet[0] made[0] a[0] loud[0] noise[0] when[0] it[0] flushes[0] and[0] when[0] the[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Great location. Hotel could be cleaner.	Great location.<br> Hotel could be cleaner.	3	-1	 Great[2] location[0] [[Sentence=-1,3=word max, 1-5]] Hotel[0] could[0] be[0] cleaner[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
We were pleasantly surprised	We were pleasantly surprised	3	-1	 We[0] were[0] pleasantly[2] surprised[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Quick and Convenient	Quick and Convenient	1	-1	 Quick[0] and[0] Convenient[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Second time there	Second time there	1	-1	 Second[0] time[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Nice place especially considering the price awesome location	Nice place especially considering the price awesome location	3	-1	 Nice[1] place[0] especially[0] considering[0] the[0] price[0] awesome[2] location[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Happy and Satisfied	Happy and Satisfied	2	-1	 Happy[1] and[0] Satisfied[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Adequate housing	Adequate housing	1	-1	 Adequate[0] housing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Great place close to Ft. Benning	Great place close to Ft.<br> Benning	3	-1	 Great[2] place[0] close[0] to[0] Ft[0] [[Sentence=-1,3=word max, 1-5]] Benning[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
The hotel was clean and inviting. The rooms were clean...	The hotel was clean and inviting.<br> The rooms were clean.	1	-1	 The[0] hotel[0] was[0] clean[0] and[0] inviting[0] [[Sentence=-1,1=word max, 1-5]] The[0] rooms[0] were[0] clean[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
My family and I had family weekend with my Army son and the...	My family and I had family weekend with my Army son and the.	1	-1	 My[0] family[0] and[0] I[0] had[0] family[0] weekend[0] with[0] my[0] Army[0] son[0] and[0] the[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Nice Hotel!	Nice Hotel!	2	-1	 Nice[1] Hotel[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Horrible Service	Horrible Service	1	-4	 Horrible[-3] Service[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
below expectations	below expectations	1	-1	 below[0] expectations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Very good	Very good	3	-1	 Very[0] good[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Enjoyed the Stay!	Enjoyed the Stay!	3	-1	 Enjoyed[2] the[0] Stay[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
First and Last Time Coming Here	First and Last Time Coming Here	1	-1	 First[0] and[0] Last[0] Time[0] Coming[0] Here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Thanksgiving get-away	Thanksgiving get-away	1	-1	 Thanksgiving[0] get[0] away[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
High Point Resort	High Point Resort	1	-1	 High[0] Point[0] Resort[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Nice hotel with big suites and very confortable.	Nice hotel with big suites and very confortable.	2	-1	 Nice[1] hotel[0] with[0] big[0] suites[0] and[0] very[0] confortable[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Great Place, stayed in a one bedroom ground floor very clean and confortable, Main Gate Disney just down the steet.	Great Place, stayed in a one bedroom ground floor very clean and confortable, Main Gate Disney just down the stet.	3	-1	 Great[2] Place[0] stayed[0] in[0] a[0] one[0] bedroom[0] ground[0] floor[0] very[0] clean[0] and[0] confortable[0] Main[0] Gate[0] Disney[0] just[0] down[0] the[0] steet/stet[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Best night ever	Best night ever	2	-1	 Best[1] night[0] ever[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Beware - Listen to the reviews and stay away - Criminal!!!	Beware - Listen to the reviews and stay away - Criminal!	1	-3	 Beware[-1] Listen[0] to[0] the[0] reviews[0] and[0] stay[0] away[0] Criminal[-1][-0.6 EmphasisInPunctuation] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
Never again	Never again	1	-1	 Never[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Clean but basic	Clean but basic	1	-1	 Clean[0] but[0] basic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
very quiet and relaxing!!! love this place	very quiet and relaxing!<br> love this place	4	-1	 very[0] quiet[0] and[0] relaxing[2][+0.6 EmphasisInPunctuation] [[Sentence=-1,4=word max, 1-5]] love[2] this[0] place[0] [[Sentence=-1,3=word max, 1-5]][[[4,-1 max of sentences]]]
The beds were worn out and rolled to the middle, every time...	The beds were worn out and rolled to the middle, every time.	1	-2	 The[0] beds[0] were[0] worn[-1] out[0] and[0] rolled[0] to[0] the[0] middle[0] every[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Love It!!!!!!!	Love It!	3	-1	 Love[2] It[0][+0.6 EmphasisInPunctuation] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Not Sure Would Stay Again	Not Sure Would Stay Again	1	-1	 Not[0] Sure[0] Would[0] Stay[0] Again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Great Motel	Great Motel	3	-1	 Great[2] Motel[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Great hotel with great rate	Great hotel with great rate	3	-1	 Great[2] hotel[0] with[0] great[2] rate[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Good value	Good value	2	-1	 Good[1] value[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Holiday Trip	Holiday Trip	1	-1	 Holiday[0] Trip[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Good to go to see the flowers	Good to go to see the flowers	2	-1	 Good[1] to[0] go[0] to[0] see[0] the[0] flowers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Best hotel for Tulip Festival	Best hotel for Tulip Festival	2	-1	 Best[1] hotel[0] for[0] Tulip[0] Festival[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Excellent value	Excellent value	4	-1	 Excellent[3] value[1] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
Good hotel	Good hotel	2	-1	 Good[1] hotel[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Cons and Pros	Cons and Pros	1	-1	 Cons[0] and[0] Pros[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Disappointed.	Disappointed.	1	-2	 Disappointed[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Although this is one of our favorite places to stay on...	Although this is one of our favorite places to stay on.	2	-1	 Although[0] this[0] is[0] one[0] of[0] our[0] favorite[1] places[0] to[0] stay[0] on[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Real Hawaii	Real Hawai	1	-1	 Real[0] Hawaii/Hawai[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Roosters will wake you up at 3:30am daily. Use of ear plugs is futile.	Roosters will wake you up at 3:30am daily.<br> Use of ear plugs is futile.	1	-1	 Roosters[0] will[0] wake[0] you[0] up[0] at[0] 3[0] :30am[0] daily[0] [[Sentence=-1,1=word max, 1-5]] Use[0] of[0] ear[0] plugs[0] is[0] futile[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Will definately stay here again!	Will definately stay here again!	1	-1	 Will[0] definately[0] stay[0] here[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Very nice hotel.	Very nice hotel.	3	-1	 Very[0] nice[1][1 LastWordBoosterStrength] hotel[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Nice hotel but lack personnel	Nice hotel but lack personnel	2	-2	 Nice[1] hotel[0] but[0] lack[-1] personnel[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
No help	No help	1	-1	 No[0] help[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Awesome suite experience	Awesome suite experience	3	-1	 Awesome[2] suite[0] experience[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Unbelievable venue for Business meetings	Unbelievable venue for Business meetings	1	-2	 Unbelievable[-1] venue[0] for[0] Business[0] meetings[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
I like Le Mridien	I like Le Mridien	2	-1	 I[0] like[1] Le[0] Mridien[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Very poor club lounge	Very poor club lounge	1	-3	 Very[0] poor[-1][-1 LastWordBoosterStrength] club[0] lounge[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
My stay was awesome!	My stay was awesome!	3	-1	 My[0] stay[0] was[0] awesome[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Must Stay!	Must Stay!	1	-1	 Must[0] Stay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Great Experience	Great Experience	3	-1	 Great[2] Experience[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Great Stay!!	Great Stay!	3	-1	 Great[2] Stay[0][+0.6 EmphasisInPunctuation] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Great time!	Great time!	3	-1	 Great[2] time[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Breaker Bay: Not What it Used To Be	Breaker Bay: Not What it Used To Be	1	-1	 Breaker[0] Bay[0] Not[0] What[0] it[0] Used[0] To[0] Be[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Picturesque!	Picturesque!	2	-1	 Picturesque[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they won me over	they won me over	1	-1	 they[0] won[0] me[0] over[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Slice of Heaven	Slice of Heaven	2	-1	 Slice[0] of[0] Heaven[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Beautiful location and superb staff!	Beautiful location and superb staff!	3	-1	 Beautiful[2] location[0] and[0] superb[0] staff[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Great getaway on a SNOWY April weekend	Great getaway on a SNOWY April weekend	3	-1	 Great[2] getaway[0] on[0] a[0] SNOWY[0] April[0] weekend[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Rented a 4-bedroom villa on Thanksgiving Day. Loved it!!!	Rented a 4-bedroom villa on Thanksgiving Day.<br> Loved it!	4	-1	 Rented[0] a[0] 4[0] bedroom[0] villa[0] on[0] Thanksgiving[0] Day[0] [[Sentence=-1,1=word max, 1-5]] Loved[3] it[0][+0.6 EmphasisInPunctuation] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
Things need to improve	Things need to improve	2	-1	 Things[0] need[0] to[0] improve[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Fun, but not much To Do	Fun, but not much To Do	2	-1	 Fun[1] but[0] not[0] much[0] To[0] Do[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Nice Resort!	Nice Resort!	2	-1	 Nice[1] Resort[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
ok hotel	ok hotel	1	-1	 ok[0] hotel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
I am continually surprised ...	I am continually surprised .	1	-1	 I[0] am[0] continually[0] surprised[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Super 8 Vandalia, OH.	Super 8 Vandalia, OH.	3	-1	 Super[2] 8[0] Vandalia[0] OH[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Las Vegas Bound!	Las Vegas Bound!	1	-1	 Las[0] Vegas[0] Bound[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Two fire alarms- the 1st @ 1am, 2nd @ 3 am	Two fire alarms- the 1st @ 1am, 2nd @ 3 am	1	-3	 Two[0] fire[0] alarms[-2] the[0] 1st[0] @[0] 1am[0] 2nd[0] @[0] 3[0] am[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
This hotel was our worst hotel experience ever.	This hotel was our worst hotel experience ever.	1	-3	 This[0] hotel[0] was[0] our[0] worst[-2] hotel[0] experience[0] ever[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
Best Hotel for the value in the area	Best Hotel for the value in the area	2	-1	 Best[1] Hotel[0] for[0] the[0] value[1] in[0] the[0] area[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Worn and needs renovation	Worn and needs renovation	1	-2	 Worn[-1] and[0] needs[0] renovation[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Accommodations fine but no elevator	Accommodations fine but no elevator	3	-1	 Accommodations[0] fine[2] but[0] no[0] elevator[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Good Value. Older, but serviceable.	Good Value.<br> Older, but serviceable.	2	-1	 Good[1] Value[1] [[Sentence=-1,2=word max, 1-5]] Older[0] but[0] serviceable[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
Nice, clean, quiet - what more can you ask	Nice, clean, quiet - what more can you ask	2	-1	 Nice[1] clean[0] quiet[0] what[0] more[0] can[0] you[0] ask[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
A Very Welcoming Safe Haven for a Stranded Biker	A Very Welcoming Safe Haven for a Stranded Biker	3	-1	 A[0] Very[0] Welcoming[1][1 LastWordBoosterStrength] Safe[1] Haven[0] for[0] a[0] Stranded[0] Biker[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Great place	Great place	3	-1	 Great[2] place[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
vacation	vacation	1	-1	 vacation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bad experience	bad experience	1	-2	 bad[-1] experience[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Oasis on the Plains	Oasis on the Plains	1	-1	 Oasis[0] on[0] the[0] Plains[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Disapointed!	Disapointed!	1	-1	 Disapointed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Quiet, comfortable, easy access	Quiet, comfortable, easy access	2	-1	 Quiet[0] comfortable[1] easy[0] access[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
